Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: AGO/2025, JUL/2025, JUN/2025, MAI/2025, ABR/2025, MAR/2025, FEV/2025, JAN/2025."
Estado: SP.
Tipo de Produção: Atendimento Individual.
"Categoria Profissional: Agente comunitário de saúde, Agente de combate a endemias, Agente de saúde, Assistente Social, Cirurgião dentista, Educador social, Enfermeiro, Farmacêutico, Fisioterapeuta, Fonoaudiólogo, Médico, Médico veterinário, Nutricionista, Outros prof. de nível médio, Outros prof. de nível superior, Profissional de educação física, Psicólogo, Sanitarista, Técnico e auxiliar de enfermagem, Técnico e auxiliar de saúde bucal, Terapeuta ocupacional, Naturólogo, Musicoterapeuta, Arteterapeuta, Recepcionista, Terapeuto Holístico."
"Sexo: Masculino, Feminino."
"Local de Atendimento: 01 - Ubs, 02 - Unidade móvel, 03 - Rua, 04 - Domicílio, 05 - Escola/creche, 06 - Outros, 07 - Polo (academia da saúde), 08 - Instituição/abrigo, 09 - Unidade prisional ou congêneres, 10 - Unidade socioeducativa."
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Ações do NASF / Polo da Academia de Saúde: Avaliação / diagnóstico, Procedimentos clínicos / terapêutico, Prescrição terapêutica."
"Probl/ Condição Avaliada: Diabetes, Hipertensão arterial."
"Conduta: Agendamento p/ NASF, Agendamento para grupos, Alta do episódio, Encaminhamento interno no dia, Encaminhamento intersetorial, Encaminhamento p/ CAPS, Encaminhamento p/ internação hospitalar, Encaminhamento p/ serviço de atenção domiciliar, Encaminhamento p/ serviço especializado, Encaminhamento p/ urgência, Retorno p/ cuidado continuado/programado, Retorno para consulta agendada."


Uf;Ibge;Municipio;Diabetes;Hipertensão arterial;
SP;354190;QUELUZ;2;57;
SP;352570;JOSÉ BONIFÁCIO;50;110;
SP;351870;GUARUJÁ;2.830;4.355;
SP;351840;GUARATINGUETÁ;37;50;
SP;352410;ITUVERAVA;57;143;
SP;355100;SÃO VICENTE;2;1;
SP;350275;ARAÇARIGUAMA;3;3;
SP;352190;ITAJOBI;141;197;
SP;351820;GUARARAPES;452;775;
SP;350840;CABREÚVA;3;3;
SP;352820;MACEDÔNIA;12;20;
SP;350210;ANDRADINA;288;246;
SP;350230;ANHEMBI;42;71;
SP;352710;LINS;34;46;
SP;353470;OURINHOS;2;2;
SP;354530;SALTO DE PIRAPORA;2;1;
SP;354940;SÃO JOAQUIM DA BARRA;1;3;
SP;352510;JARDINÓPOLIS;7;28;
SP;354760;SANTA ROSA DE VITERBO;0;2;
SP;352280;ITAPORANGA;1;1;
SP;355240;SUMARÉ;58;105;
SP;354515;SALTINHO;98;55;
SP;352900;MARÍLIA;2;4;
SP;350220;ANGATUBA;69;164;
SP;355700;VOTORANTIM;9;100;
SP;350050;ÁGUAS DE LINDÓIA;17;54;
SP;350360;AREIÓPOLIS;577;1.022;
SP;352520;JARINU;79;172;
SP;353070;MOGI GUAÇU;0;1;
SP;351780;GUARAÇAÍ;1;0;
SP;350950;CAMPINAS;42;48;
SP;354790;SANTO ANTÔNIO DA ALEGRIA;14;25;
SP;351925;IARAS;17;46;
SP;351340;CRUZEIRO;130;261;
SP;353660;PAULO DE FARIA;0;1;
SP;351890;GUZOLÂNDIA;2;2;
SP;353325;NOVAIS;60;44;
SP;350540;BARRA DO TURVO;23;51;
SP;350520;BARIRI;71;74;
SP;352980;MINEIROS DO TIETÊ;25;41;
SP;355670;VINHEDO;1;0;
SP;352270;ITÁPOLIS;66;56;
SP;351370;DESCALVADO;18;23;
SP;350870;CACONDE;1;1;
SP;352740;LUCÉLIA;131;3;
SP;350120;ÁLVARES FLORENCE;48;49;
SP;350040;ÁGUAS DA PRATA;1;5;
SP;352725;LOURDES;35;109;
SP;353770;PIACATU;13;64;
SP;353460;OSVALDO CRUZ;24;51;
SP;354780;SANTO ANDRÉ;384;287;
SP;352800;MACATUBA;90;137;
SP;352380;ITOBI;3;6;
SP;354100;PRAIA GRANDE;0;1;
SP;353780;PIEDADE;3;3;
SP;350790;BROTAS;234;491;
SP;351740;GUAÍRA;87;16;
SP;354110;PRESIDENTE ALVES;110;414;
SP;355020;SÃO MIGUEL ARCANJO;115;178;
SP;350330;ARARAS;224;602;
SP;351907;HORTOLÂNDIA;0;2;
SP;351015;CANITAR;15;35;
SP;353530;PALMITAL;1;5;
SP;354870;SÃO BERNARDO DO CAMPO;1;0;
SP;353930;PIRASSUNUNGA;212;214;
SP;351020;CAPÃO BONITO;743;1.285;
SP;351050;CARAGUATATUBA;0;3;
SP;352240;ITAPEVA;1;1;
SP;351380;DIADEMA;205;162;
SP;353180;MONTE MOR;253;400;
SP;354520;SALTO;17;36;
SP;353910;PIRAPORA DO BOM JESUS;3;8;
SP;355645;VARGEM GRANDE PAULISTA;123;86;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 14 de Outubro de 2025 - 21:29h
